Land,Ride,Wait Time,Local Time,Day of Week
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 18:45:03.864851-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,10,2024-07-08 18:45:03.864851-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-08 18:45:03.864851-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 18:45:03.864851-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-08 18:45:03.864851-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,25,2024-07-08 18:45:03.864851-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-08 18:45:03.864851-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-08 18:45:03.864851-07:00,Monday
Grizzly Peak,Grizzly River Run,40,2024-07-08 18:45:03.864851-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-08 18:45:03.864851-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,50,2024-07-08 18:45:03.864851-07:00,Monday
Grizzly Peak,Soarin' Around the World,50,2024-07-08 18:45:03.864851-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,50,2024-07-08 18:45:03.864851-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,70,2024-07-08 18:45:03.864851-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 19:00:03.809919-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 19:00:03.809919-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 19:00:03.809919-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,10,2024-07-08 19:00:03.809919-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 19:00:03.809919-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",10,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-08 19:00:03.809919-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,25,2024-07-08 19:00:03.809919-07:00,Monday
Grizzly Peak,Grizzly River Run,30,2024-07-08 19:00:03.809919-07:00,Monday
Grizzly Peak,Soarin' Around the World,30,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-08 19:00:03.809919-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,50,2024-07-08 19:00:03.809919-07:00,Monday
Cars Land,Radiator Springs Racers,50,2024-07-08 19:00:03.809919-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,60,2024-07-08 19:00:03.809919-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,70,2024-07-08 19:00:03.809919-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 19:15:03.760389-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 19:15:03.760389-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 19:15:03.760389-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,10,2024-07-08 19:15:03.760389-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 19:15:03.760389-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",10,2024-07-08 19:15:03.760389-07:00,Monday
Grizzly Peak,Grizzly River Run,20,2024-07-08 19:15:03.760389-07:00,Monday
Grizzly Peak,Soarin' Around the World,30,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,30,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,35,2024-07-08 19:15:03.760389-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 19:15:03.760389-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,40,2024-07-08 19:15:03.760389-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-08 19:15:03.760389-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,40,2024-07-08 19:15:03.760389-07:00,Monday
Cars Land,Radiator Springs Racers,60,2024-07-08 19:15:03.760389-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 19:30:03.778871-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 19:30:03.778871-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 19:30:03.778871-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-08 19:30:03.778871-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-08 19:30:03.778871-07:00,Monday
Grizzly Peak,Grizzly River Run,20,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,20,2024-07-08 19:30:03.778871-07:00,Monday
Grizzly Peak,Soarin' Around the World,30,2024-07-08 19:30:03.778871-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,30,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-08 19:30:03.778871-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 19:30:03.778871-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,40,2024-07-08 19:30:03.778871-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,50,2024-07-08 19:30:03.778871-07:00,Monday
Cars Land,Radiator Springs Racers,60,2024-07-08 19:30:03.778871-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,75,2024-07-08 19:30:03.778871-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-08 19:45:03.709468-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 19:45:03.709468-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 19:45:03.709468-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 19:45:03.709468-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 19:45:03.709468-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,15,2024-07-08 19:45:03.709468-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,20,2024-07-08 19:45:03.709468-07:00,Monday
Grizzly Peak,Grizzly River Run,20,2024-07-08 19:45:03.709468-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,20,2024-07-08 19:45:03.709468-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,25,2024-07-08 19:45:03.709468-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-08 19:45:03.709468-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-08 19:45:03.709468-07:00,Monday
Grizzly Peak,Soarin' Around the World,35,2024-07-08 19:45:03.709468-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,40,2024-07-08 19:45:03.709468-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,50,2024-07-08 19:45:03.709468-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,50,2024-07-08 19:45:03.709468-07:00,Monday
Cars Land,Radiator Springs Racers,60,2024-07-08 19:45:03.709468-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,65,2024-07-08 19:45:03.709468-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-08 20:00:03.808298-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 20:00:03.808298-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 20:00:03.808298-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 20:00:03.808298-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 20:00:03.808298-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 20:00:03.808298-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,15,2024-07-08 20:00:03.808298-07:00,Monday
Grizzly Peak,Grizzly River Run,20,2024-07-08 20:00:03.808298-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,20,2024-07-08 20:00:03.808298-07:00,Monday
Pixar Pier,Incredicoaster,25,2024-07-08 20:00:03.808298-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,25,2024-07-08 20:00:03.808298-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,30,2024-07-08 20:00:03.808298-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-08 20:00:03.808298-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-08 20:00:03.808298-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,40,2024-07-08 20:00:03.808298-07:00,Monday
Grizzly Peak,Soarin' Around the World,45,2024-07-08 20:00:03.808298-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-08 20:00:03.808298-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-08 20:00:03.808298-07:00,Monday
Cars Land,Radiator Springs Racers,60,2024-07-08 20:00:03.808298-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 20:15:04.479914-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-08 20:15:04.479914-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 20:15:04.479914-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 20:15:04.479914-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 20:15:04.479914-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 20:15:04.479914-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 20:15:04.479914-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,15,2024-07-08 20:15:04.479914-07:00,Monday
Grizzly Peak,Grizzly River Run,15,2024-07-08 20:15:04.479914-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,15,2024-07-08 20:15:04.479914-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,25,2024-07-08 20:15:04.479914-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,25,2024-07-08 20:15:04.479914-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-08 20:15:04.479914-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-08 20:15:04.479914-07:00,Monday
Grizzly Peak,Soarin' Around the World,35,2024-07-08 20:15:04.479914-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 20:15:04.479914-07:00,Monday
Pixar Pier,Incredicoaster,45,2024-07-08 20:15:04.479914-07:00,Monday
Cars Land,Radiator Springs Racers,50,2024-07-08 20:15:04.479914-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-08 20:15:04.479914-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 20:30:04.568513-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-08 20:30:04.568513-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-08 20:30:04.568513-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 20:30:04.568513-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 20:30:04.568513-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 20:30:04.568513-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 20:30:04.568513-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 20:30:04.568513-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,15,2024-07-08 20:30:04.568513-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,20,2024-07-08 20:30:04.568513-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-08 20:30:04.568513-07:00,Monday
Grizzly Peak,Soarin' Around the World,20,2024-07-08 20:30:04.568513-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,20,2024-07-08 20:30:04.568513-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-08 20:30:04.568513-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",25,2024-07-08 20:30:04.568513-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 20:30:04.568513-07:00,Monday
Cars Land,Radiator Springs Racers,50,2024-07-08 20:30:04.568513-07:00,Monday
Pixar Pier,Incredicoaster,55,2024-07-08 20:30:04.568513-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,65,2024-07-08 20:30:04.568513-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 20:45:03.564814-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-08 20:45:03.564814-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 20:45:03.564814-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 20:45:03.564814-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 20:45:03.564814-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 20:45:03.564814-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 20:45:03.564814-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,15,2024-07-08 20:45:03.564814-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-08 20:45:03.564814-07:00,Monday
Grizzly Peak,Soarin' Around the World,20,2024-07-08 20:45:03.564814-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",20,2024-07-08 20:45:03.564814-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,20,2024-07-08 20:45:03.564814-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-08 20:45:03.564814-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-08 20:45:03.564814-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 20:45:03.564814-07:00,Monday
Cars Land,Radiator Springs Racers,50,2024-07-08 20:45:03.564814-07:00,Monday
Pixar Pier,Incredicoaster,55,2024-07-08 20:45:03.564814-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,65,2024-07-08 20:45:03.564814-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 21:00:03.817336-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-08 21:00:03.817336-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 21:00:03.817336-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 21:00:03.817336-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 21:00:03.817336-07:00,Monday
Grizzly Peak,Soarin' Around the World,10,2024-07-08 21:00:03.817336-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 21:00:03.817336-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-08 21:00:03.817336-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",20,2024-07-08 21:00:03.817336-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-08 21:00:03.817336-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-08 21:00:03.817336-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,35,2024-07-08 21:00:03.817336-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 21:00:03.817336-07:00,Monday
Cars Land,Radiator Springs Racers,50,2024-07-08 21:00:03.817336-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-08 21:00:03.817336-07:00,Monday
Pixar Pier,Incredicoaster,55,2024-07-08 21:00:03.817336-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 21:15:03.815419-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-08 21:15:03.815419-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 21:15:03.815419-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 21:15:03.815419-07:00,Monday
Grizzly Peak,Soarin' Around the World,10,2024-07-08 21:15:03.815419-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,15,2024-07-08 21:15:03.815419-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,15,2024-07-08 21:15:03.815419-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",20,2024-07-08 21:15:03.815419-07:00,Monday
Pixar Pier,Incredicoaster,20,2024-07-08 21:15:03.815419-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-08 21:15:03.815419-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-08 21:15:03.815419-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-08 21:15:03.815419-07:00,Monday
Cars Land,Radiator Springs Racers,45,2024-07-08 21:15:03.815419-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-08 21:15:03.815419-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,5,2024-07-08 21:30:03.881879-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 21:30:03.881879-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 21:30:03.881879-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 21:30:03.881879-07:00,Monday
Grizzly Peak,Soarin' Around the World,10,2024-07-08 21:30:03.881879-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",10,2024-07-08 21:30:03.881879-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,15,2024-07-08 21:30:03.881879-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,20,2024-07-08 21:30:03.881879-07:00,Monday
Pixar Pier,Incredicoaster,20,2024-07-08 21:30:03.881879-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-08 21:30:03.881879-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,20,2024-07-08 21:30:03.881879-07:00,Monday
Cars Land,Radiator Springs Racers,45,2024-07-08 21:30:03.881879-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-08 21:30:03.881879-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,5,2024-07-08 21:45:03.862498-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,5,2024-07-08 21:45:03.862498-07:00,Monday
Grizzly Peak,Grizzly River Run,5,2024-07-08 21:45:03.862498-07:00,Monday
Paradise Gardens Park,Golden Zephyr,5,2024-07-08 21:45:03.862498-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 21:45:03.862498-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 21:45:03.862498-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 21:45:03.862498-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 21:45:03.862498-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,10,2024-07-08 21:45:03.862498-07:00,Monday
Grizzly Peak,Soarin' Around the World,10,2024-07-08 21:45:03.862498-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",10,2024-07-08 21:45:03.862498-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,10,2024-07-08 21:45:03.862498-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,15,2024-07-08 21:45:03.862498-07:00,Monday
Pixar Pier,Incredicoaster,20,2024-07-08 21:45:03.862498-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-08 21:45:03.862498-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-08 21:45:03.862498-07:00,Monday
Cars Land,Radiator Springs Racers,55,2024-07-08 21:45:03.862498-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Jessie's Critter Carousel,10,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Jumpin' Jellyfish,15,2024-07-09 13:00:04.313878-07:00,Tuesday
Paradise Gardens Park,Silly Symphony Swings,25,2024-07-09 13:00:04.313878-07:00,Tuesday
Cars Land,Mater's Junkyard Jamboree,30,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Inside Out Emotional Whirlwind,30,2024-07-09 13:00:04.313878-07:00,Tuesday
Paradise Gardens Park,Golden Zephyr,35,2024-07-09 13:00:04.313878-07:00,Tuesday
Cars Land,Luigi's Rollickin' Roadsters,40,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,40,2024-07-09 13:00:04.313878-07:00,Tuesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,45,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Pixar Pal-A-Round - Swinging,45,2024-07-09 13:00:04.313878-07:00,Tuesday
Grizzly Peak,Soarin' Around the World,55,2024-07-09 13:00:04.313878-07:00,Tuesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",60,2024-07-09 13:00:04.313878-07:00,Tuesday
Paradise Gardens Park,Goofy's Sky School,60,2024-07-09 13:00:04.313878-07:00,Tuesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,65,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Toy Story Midway Mania!,65,2024-07-09 13:00:04.313878-07:00,Tuesday
Grizzly Peak,Grizzly River Run,85,2024-07-09 13:00:04.313878-07:00,Tuesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,90,2024-07-09 13:00:04.313878-07:00,Tuesday
Cars Land,Radiator Springs Racers,120,2024-07-09 13:00:04.313878-07:00,Tuesday
Pixar Pier,Games of Pixar Pier,5,2024-07-09 13:15:04.224809-07:00,Tuesday
Pixar Pier,Jessie's Critter Carousel,10,2024-07-09 13:15:04.224809-07:00,Tuesday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-09 13:15:04.224809-07:00,Tuesday
Paradise Gardens Park,Silly Symphony Swings,25,2024-07-09 13:15:04.224809-07:00,Tuesday
Pixar Pier,Jumpin' Jellyfish,25,2024-07-09 13:15:04.224809-07:00,Tuesday
Cars Land,Mater's Junkyard Jamboree,30,2024-07-09 13:15:04.224809-07:00,Tuesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-09 13:15:04.224809-07:00,Tuesday
Paradise Gardens Park,Golden Zephyr,35,2024-07-09 13:15:04.224809-07:00,Tuesday
Cars Land,Luigi's Rollickin' Roadsters,40,2024-07-09 13:15:04.224809-07:00,Tuesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-09 13:15:04.224809-07:00,Tuesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,45,2024-07-09 13:15:04.224809-07:00,Tuesday
Pixar Pier,Toy Story Midway Mania!,50,2024-07-09 13:15:04.224809-07:00,Tuesday
Grizzly Peak,Soarin' Around the World,60,2024-07-09 13:15:04.224809-07:00,Tuesday
Paradise Gardens Park,Goofy's Sky School,60,2024-07-09 13:15:04.224809-07:00,Tuesday
